vino,okus
102004,  mango
102004,  kiwi
102004,  tangerine
102004,  wax
102004,  almond
102004,  citrus
102004,  tea and   apple
102008,pepper
102008,  earth
102008,  green
102008,  plum
102008,  mocha
102008,  currant
102008,  blackberry
102008,  cherry
102008,  bell pepper
102008,  olive
102008,  asparagus
102008,  spice
102008,  ginger
102008,  oak and   vanilla
102020,black currant
102020,  blackberry
102020,  dust
102020,  leather
102020,  currant
102020,  blueberry
102020,  strawberry
102020,  vanilla
102020,  musk
102020,  plum
102020,  violet
102020,  almond
102020,  dark berry and   spice
102022,tobacco
102022,  raspberry
102022,  cassis
102022,  violet
102022,  pepper and   green bean
102032,currant
102032,  blackberry
102032,  cherry
102032,  bell pepper
102032,  olive
102032,  asparagus
102032,  spice
102032,  ginger
102032,  oak
102032,  vanilla
102032,  pepper
102032,  earth
102032,  green
102032,  plum and   mocha
102141,currant
102141,  blueberry
102141,  blackberry and   strawberry
102145,cherry
102145,  strawberry and   raspberry
102228,black currant
102228,  blackberry
102228,  dust
102228,  leather
102228,  currant
102228,  blueberry and   strawberry
102239,red fruit
102239,  strawberry
102239,  raspberry
102239,  currant
102239,  blueberry and   blackberry
102241,currant
102241,  blackberry
102241,  cherry
102241,  bell pepper
102241,  olive
102241,  asparagus
102241,  spice
102241,  ginger
102241,  oak and   vanilla
102304,ripe cherry
102304,  plum
102304,  strawberry
102304,  raspberry
102304,  mushroom
102304,  apple
102304,  pear
102304,  peach
102304,  apricot
102304,  lemon
102304,  lime
102304,  orange
102304,  pineapple
102304,  kiwi
102304,  butter
102304,  cream and   vanilla
102306,spice
102306,  cinnamon
102306,  red berry and   sour cherry
102315,ripe cherry
102315,  plum
102315,  strawberry
102315,  raspberry
102315,  mushroom
102315,  apple
102315,  pear
102315,  peach
102315,  apricot
102315,  lemon
102315,  lime
102315,  orange
102315,  pineapple
102315,  kiwi
102315,  butter
102315,  cream and   vanilla
102317,currant
102317,  blackberry
102317,  cherry
102317,  bell pepper
102317,  olive
102317,  asparagus
102317,  spice
102317,  ginger
102317,  oak and   vanilla
102340,grass
102340,  gooseberry
102340,  grapefruit
102340,  lime
102340,  melon
102340,  citrus
102340,  mineral and   flint
102346,apple
102346,  pear
102346,  peach
102346,  apricot and   honey
102352,apple
102352,  pear
102352,  peach
102352,  apricot and   honey
102354,red fruit
102354,  strawberry and   raspberry
102367,currant
102367,  blackberry
102367,  cherry
102367,  bell pepper
102367,  olive
102367,  asparagus
102367,  spice
102367,  ginger
102367,  oak
102367,  vanilla
102367,  jam
102367,  blueberry
102367,  black pepper
102367,  plum
102367,  boysenberry
102367,  cranberry
102367,  licorice
102367,  strawberry
102367,  dark berry fruit and   high tannin
102369,ripe cherry
102369,  peppercorn
102369,  cinnamon
102369,  plum
102369,  red fruit
102369,  floral
102369,  blackberry
102369,  cassis
102369,  tannins
102369,  dark ripe cherry
102369,  dark berry
102369,  blueberry and   spice
102374,ripe cherry
102374,  peppercorn
102374,  cinnamon
102374,  plum
102374,  red fruit
102374,  berry
102374,  cherry
102374,  plum
102374,  earth
102374,  leather
102374,  herb
102374,  blackberry
102374,  cassis and   cinnamon 
102375,cocoa
102375,  honey
102375,  vanilla
102375,  butterscotch and   dark fruit
102379,red fruit
102379,  strawberry and   raspberry
102393,blackberry
102395,pear
102395,  lime
102395,  marzipan
102395,  blood orange and   apricot
102396,apple
102396,  pear
102396,  peach
102396,  apricot
102396,  lemon
102396,  lime
102396,  orange
102396,  pineapple
102396,  kiwi
102396,  butter
102396,  cream
102396,  vanilla
102396,  grass
102396,  gooseberry
102396,  grapefruit
102396,  melon
102396,  citrus
102396,  mineral
102396,  flint and   honey
102397,cherry
102397,  strawberry
102397,  raspberry
102397,  licorice
102397,  anise
102397,  currant
102397,  black cherry
102397,  plum
102397,  bell pepper
102397,  olive
102397,  oak
102397,  smoke
102397,  toast
102397,  tar
102397,  blueberry and   blackberry
102413,cocoa
102413,  honey
102413,  vanilla
102413,  butterscotch and   dark fruit
102423,berry
102423,  cherry
102423,  plum
102423,  earth
102423,  leather and   herb
102431,honeysuckle
102431,  quince
102431,  melon and   cantaloupe
102477,pepper
102477,  earth
102477,  green
102477,  plum
102477,  mocha
102477,  currant
102477,  tobacco
102477,  raspberry
102477,  cassis
102477,  violet
102477,  green bean
102477,  blackberry
102477,  lead
102477,  cedar
102477,  molasses and   dark fruit
102481,apple
102481,  pear
102481,  peach
102481,  apricot
102481,  lemon
102481,  lime
102481,  orange
102481,  pineapple
102481,  kiwi
102481,  butter
102481,  cream and   vanilla
102482,apple
102482,  pear
102482,  peach
102482,  apricot
102482,  lemon
102482,  lime
102482,  orange
102482,  pineapple
102482,  kiwi
102482,  butter
102482,  cream and   vanilla
102494,currant
102494,  black cherry
102494,  plum
102494,  bell pepper
102494,  olive
102494,  oak
102494,  smoke
102494,  toast and   tar
102508,apple
102508,  pear
102508,  peach
102508,  apricot
102508,  lemon
102508,  lime
102508,  orange
102508,  pineapple
102508,  kiwi
102508,  butter
102508,  cream and   vanilla
102546,apple
102546,  pear
102546,  peach
102546,  apricot
102546,  lemon
102546,  lime
102546,  orange
102546,  pineapple
102546,  kiwi
102546,  butter
