vino,okus
103436,  oak
103436,  smoke
103436,  toast
103436,  vanilla
103436,  black currant
103436,  blackberry
103436,  dust and   leather
103474,black currant
103474,  blackberry
103474,  dust and   leather
103480,apple
103480,  pear
103480,  peach
103480,  apricot
103480,  lemon
103480,  lime
103480,  orange
103480,  pineapple
103480,  kiwi
103480,  butter
103480,  cream and   vanilla
103487,ripe cherry
103487,  plum
103487,  strawberry
103487,  raspberry and   mushroom
103495,apple
103495,  pear
103495,  peach
103495,  apricot
103495,  lemon
103495,  lime
103495,  orange
103495,  pineapple
103495,  kiwi
103495,  butter
103495,  cream and   vanilla
103496,jam
103496,  blueberry
103496,  black pepper
103496,  cherry
103496,  plum
103496,  boysenberry
103496,  cranberry
103496,  licorice
103496,  dark ripe cherry
103496,  dark berry
103496,  spice
103496,  dark berry fruit and   high tannin
103551,apple
103551,  pear
103551,  peach
103551,  apricot
103551,  lemon
103551,  lime
103551,  orange
103551,  pineapple
103551,  kiwi
103551,  butter
103551,  cream and   vanilla
103558,blackberry
103558,  violet
103558,  oak
103558,  smoke
103558,  toast
103558,  vanilla
103558,  black currant
103558,  blackberry
103558,  dust
103558,  leather
103558,  currant
103558,  blueberry
103558,  strawberry
103558,  violet
103558,  oak
103558,  smoke and   toast
103596,apple
103596,  pear
103596,  peach
103596,  apricot
103596,  lemon
103596,  lime
103596,  orange
103596,  pineapple
103596,  kiwi
103596,  butter
103596,  cream and   vanilla
103601,apple
103601,  pear
103601,  peach
103601,  apricot
103601,  lemon
103601,  lime
103601,  orange
103601,  pineapple
103601,  kiwi
103601,  butter
103601,  cream and   vanilla
103602,apple
103602,  pear
103602,  peach
103602,  apricot
103602,  lemon
103602,  lime
103602,  orange
103602,  pineapple
103602,  kiwi
103602,  butter
103602,  cream and   vanilla
103610,ripe cherry
103610,  plum
103610,  strawberry
103610,  raspberry and   mushroom
103639,black currant
103639,  blackberry
103639,  dust and   leather
103679,apple
103679,  pear
103679,  peach
103679,  apricot
103679,  lemon
103679,  lime
103679,  orange
103679,  pineapple
103679,  kiwi
103679,  butter
103679,  cream and   vanilla
103730,tobacco
103730,  raspberry
103730,  cassis
103730,  violet and   pepper
103734,apple
103734,  pear
103734,  peach
103734,  apricot
103734,  lemon
103734,  lime
103734,  orange
103734,  pineapple
103734,  kiwi
103734,  butter
103734,  cream and   vanilla
103755,apple
103755,  pear
103755,  peach
103755,  apricot and   honey
103756,ripe cherry
103756,  plum
103756,  strawberry
103756,  raspberry
103756,  mushroom
103756,  apple
103756,  pear
103756,  peach
103756,  apricot
103756,  lemon
103756,  lime
103756,  orange
103756,  pineapple
103756,  kiwi
103756,  butter
103756,  cream and   vanilla
103761,apple
103761,  pear
103761,  peach
103761,  apricot
103761,  lemon
103761,  lime
103761,  orange
103761,  pineapple
103761,  kiwi
103761,  butter
103761,  cream and   vanilla
103781,apple
103781,  pear
103781,  peach
103781,  apricot
103781,  lemon
103781,  lime
103781,  orange
103781,  pineapple
103781,  kiwi
103781,  butter
103781,  cream and   vanilla
103809,bitter almond and   pale lemon
103818,grass
103818,  gooseberry
103818,  grapefruit
103818,  lime
103818,  melon
103818,  citrus
103818,  mineral and   flint
103819,blackberry
103819,  cherry
103819,  smoke and   earth
103821,ripe cherry
103821,  peppercorn
103821,  cinnamon
103821,  plum
103821,  red fruit
103821,  cocoa
103821,  honey
103821,  vanilla
103821,  butterscotch
103821,  dark fruit
103821,  spice
103821,  earth
103821,  perfume
103821,  floral
103821,  violet
103821,  raisin
103821,  high acid
103821,  chocolate and   blackberry
103828,apple
103828,  pear
103828,  peach
103828,  apricot and   honey
103835,currant
103835,  black cherry
103835,  plum
103835,  bell pepper
103835,  olive
103835,  oak
103835,  smoke
103835,  toast
103835,  tar
103835,  blackberry
103835,  cherry
103835,  asparagus
103835,  spice
103835,  ginger and   vanilla
103872,currant
103872,  blackberry
103872,  cherry
103872,  bell pepper
103872,  olive
103872,  asparagus
103872,  spice
103872,  ginger
103872,  oak
103872,  vanilla
103872,  blueberry
103872,  strawberry
103872,  dark stone fruit
103872,  black cherry
103872,  smoke
103872,  herb and   bitter almond
103873,currant
103873,  blackberry
103873,  cherry
103873,  bell pepper
103873,  olive
103873,  asparagus
103873,  spice
103873,  ginger
103873,  oak
103873,  vanilla
103873,  black cherry
103873,  plum
103873,  smoke
103873,  toast
103873,  tar
103873,  jam
103873,  dark berry fruit
103873,  high tannin and   black pepper
103874,currant
103874,  black cherry
103874,  plum
103874,  bell pepper
103874,  olive
103874,  oak
103874,  smoke
103874,  toast and   tar
103936,black currant
103936,  blackberry
103936,  dust and   leather
103938,black currant
103938,  blackberry
103938,  dust and   leather
103948,honey
103948,  orange
103948,  mango
103948,  kiwi and   tangerine
103976,red fruit
103976,  strawberry
103976,  raspberry
103976,  currant
103976,  blackberry
103976,  cherry
103976,  bell pepper
103976,  olive
103976,  asparagus
103976,  spice
103976,  ginger
103976,  oak
103976,  vanilla
103976,  black cherry
103976,  plum
103976,  smoke
103976,  toast and   tar
103977,currant
103977,  blackberry
103977,  cherry
103977,  bell pepper
103977,  olive
103977,  asparagus
103977,  spice
103977,  ginger
103977,  oak
103977,  vanilla
103977,  black cherry
103977,  plum
103977,  smoke
103977,  toast
103977,  tar
103977,  pepper
103977,  earth
103977,  green
103977,  mocha
103977,  tobacco
103977,  raspberry
103977,  cassis
103977,  violet
103977,  green bean
103977,  lead
103977,  cedar
103977,  molasses and   dark fruit
